пол,плутон,нептун,уран,сатурн,юпитер,годы в днях
M,26.23.4,14.17.6,8.41.2,22.30.12,17.24.9,18165
F,28.44.4,18.29.6,7.12.2,15.52.12,25.8.9,26609
M,26.26.4,14.20.6,8.46.2,22.31.12,17.8.9,23966
M,28.41.4,18.40.6,6.51.2,15.47.12,27.0.9,28434
M,25.10.4,14.27.6,4.44.2,17.32.12,24.26.9,26202
F,26.4.4,14.7.6,8.11.2,22.16.12,18.55.9,30189
M,25.29.4,15.38.6,2.30.2,12.10.12,21.37.9,10273
M,26.2.4,14.6.6,8.7.2,22.13.12,19.5.9,17821
M,25.11.4,14.51.6,3.49.2,15.39.12,24.6.9,16545
M,25.15.4,15.6.6,3.20.2,14.31.12,23.32.9,25840
M,28.19.4,16.41.6,9.14.2,18.58.12,16.17.9,27486
M,26.29.4,16.40.6,1.33.2,6.40.12,13.22.9,24530
M,25.1.4,14.23.6,27.31.1,26.18.11,18.52.8,29905
M,27.14.4,15.7.6,4.36.2,4.45.12,21.45.8,29019
M,25.38.4,12.38.6,5.18.2,9.35.12,13.31.8,26731
M,27.22.4,16.23.6,2.53.2,3.32.12,0.45.9,25500
F,27.21.4,15.33.6,4.7.2,4.5.12,24.13.8,23655
F,25.17.4,12.17.6,4.59.2,10.3.12,13.28.8,25745
M,26.43.4,14.3.6,5.21.2,6.49.12,17.2.8,19575
M,26.5.4,13.8.6,5.30.2,8.41.12,14.20.8,23127
M,26.7.4,13.10.6,5.30.2,8.37.12,14.24.8,17199
M,23.58.4,13.0.6,29.13.1,3.8.12,23.17.8,25408
M,25.15.4,12.16.6,4.57.2,10.4.12,13.29.8,19629
M,24.19.4,13.38.6,28.14.1,0.18.12,22.37.8,22969
M,24.42.4,14.7.6,27.42.1,27.55.11,20.48.8,21275
M,24.8.4,11.49.6,2.45.2,9.8.12,17.42.8,30593
M,26.54.4,14.22.6,5.12.2,6.10.12,18.15.8,27434
F,27.25.4,16.4.6,3.25.2,2.34.12,27.50.8,27626
M,27.19.4,15.23.6,4.19.2,4.20.12,23.12.8,22581
F,24.1.4,11.52.6,2.14.2,8.32.12,18.51.8,24690
M,25.33.4,12.32.6,5.14.2,9.44.12,13.27.8,27724
M,24.21.4,13.41.6,28.11.1,0.5.12,22.30.8,11669
M,26.53.4,14.20.6,5.12.2,6.13.12,18.10.8,21300
M,26.43.4,14.2.6,5.21.2,6.49.12,17.1.8,22889
M,25.9.4,14.28.6,27.30.1,25.40.11,17.57.8,18950
M,24.14.4,13.31.6,28.24.1,0.51.12,22.52.8,24566
M,24.34.4,11.51.6,3.55.2,10.4.12,15.5.8,28054
M,24.7.4,11.49.6,2.41.2,9.4.12,17.51.8,22330
F,25.4.4,12.8.6,4.44.2,10.11.12,13.41.8,9941
F,27.21.4,16.26.6,2.46.2,3.33.12,1.22.9,12356
F,26.21.4,13.28.6,5.31.2,8.0.12,15.11.8,28721
M,27.17.4,15.16.6,4.26.2,4.30.12,22.34.8,21518
M,27.16.4,16.36.6,2.25.2,3.46.12,3.33.9,30199
M,25.6.4,14.26.6,27.30.1,25.54.11,18.18.8,25804
